Rank,Name,Console,Publisher,Total_shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Date
147,Zuma,Series,PopCap Games,17.00m,N/A,N/A,N/A,N/A,N/A,12th Dec 03
148,Garry's Mod,PC,Valve,16.90m,N/A,N/A,N/A,N/A,N/A,29th Nov 06
149,Hitman,Series,Eidos Interactive,16.59m,N/A,N/A,N/A,N/A,N/A,21st Nov 00
150,Super Mario Odyssey,NS,Nintendo,16.59m,N/A,N/A,N/A,N/A,N/A,27th Oct 17
151,Pokémon X/Y,3DS,Nintendo,16.44m,N/A,N/A,N/A,N/A,N/A,12th Oct 13
152,The Legend of Zelda: Breath of the Wild,NS,Nintendo,16.34m,N/A,N/A,N/A,N/A,N/A,03rd Mar 17
153,Uncharted 4: A Thief's End,PS4,Sony Interactive Entertainment,16.25m,N/A,N/A,N/A,N/A,N/A,10th May 16
154,Pokémon Ruby / Sapphire Version,GBA,Nintendo,16.22m,N/A,N/A,N/A,N/A,N/A,17th Mar 03
155,Pokémon Sun/Moon,3DS,Nintendo,16.18m,N/A,N/A,N/A,N/A,N/A,18th Nov 16
156,The Lord of the Rings,Series,Unknown,16.17m,N/A,N/A,N/A,N/A,N/A,N/A
157,Grand Theft Auto: Vice City,PS2,Rockstar Games,N/A,16.15m,8.41m,5.49m,0.47m,1.78m,28th Oct 02
158,Pokémon Sword / Shield,NS,Nintendo,16.06m,N/A,N/A,N/A,N/A,N/A,15th Nov 19
159,Super Robot Wars,Series,Bandai,16.00m,N/A,N/A,N/A,N/A,N/A,20th Apr 91
160,Grand Theft Auto V,X360,Rockstar Games,N/A,15.86m,9.06m,5.33m,0.06m,1.42m,17th Sep 13
161,Pokémon Black / White Version,DS,Nintendo,15.64m,N/A,N/A,N/A,N/A,N/A,06th Mar 11
162,Pokemon Mystery Dungeon,Series,Nintendo,15.22m,N/A,N/A,N/A,N/A,N/A,18th Sep 06
163,Call of Duty: Black Ops 3,PS4,Activision,N/A,15.09m,6.18m,6.05m,0.41m,2.44m,06th Nov 15
164,Counter-Strike: Source,PC,VU Games,15.00m,N/A,N/A,N/A,N/A,N/A,16th Nov 04
165,Backyard Sports,Series,Humongous Entertainment,15.00m,N/A,N/A,N/A,N/A,N/A,01st Jan 97
166,Barbie,Series,Unknown,15.00m,N/A,N/A,N/A,N/A,N/A,N/A
