Rank,Name,Console,Publisher,Total_shipped,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Release_Date,Last_Date
495,Monster Hunter Freedom 3,PSP,Capcom,4.90m,N/A,N/A,N/A,N/A,N/A,01st Dec 10
496,Diddy Kong Racing,N64,Nintendo,4.88m,N/A,N/A,N/A,N/A,N/A,24th Nov 97
497,Pokémon Mystery Dungeon: Explorers of Time / Darkness,DS,Nintendo,4.88m,N/A,N/A,N/A,N/A,N/A,20th Apr 08
498,Call of Duty: Black Ops IIII,XOne,Activision,N/A,4.85m,3.27m,1.12m,N/A,0.46m,12th Oct 18
499,Dr. Mario,NES,Nintendo,4.85m,N/A,N/A,N/A,N/A,N/A,01st Oct 90
500,Crash Bandicoot N. Sane Trilogy,PS4,Activision,N/A,4.83m,1.09m,2.92m,0.07m,0.74m,30th Jun 17
501,Assassin's Creed,PS3,Ubisoft,N/A,4.83m,1.91m,2.01m,0.09m,0.82m,13th Nov 07
502,Call of Duty: Infinite Warfare,XOne,Activision,N/A,4.79m,2.91m,1.44m,N/A,0.44m,04th Nov 16
503,Crash Team Racing,PS,Sony Computer Entertainment,N/A,4.79m,2.57m,1.57m,0.44m,0.21m,30th Sep 99
504,LEGO Star Wars: The Complete Saga,DS,LucasArts,N/A,4.77m,2.83m,1.49m,N/A,0.45m,06th Nov 07
505,The Legend of Zelda: Phantom Hourglass,DS,Nintendo,4.76m,N/A,N/A,N/A,N/A,N/A,02nd Oct 07
506,Batman: Arkham City,X360,Warner Bros. Interactive,N/A,4.75m,2.99m,1.28m,0.04m,0.44m,18th Oct 11
507,Driver 2,PS,Atari,N/A,4.73m,2.36m,2.10m,0.02m,0.25m,13th Nov 00
508,The Simpsons: Hit & Run,PS2,VU Games,N/A,4.70m,1.73m,2.19m,N/A,0.79m,16th Sep 03
509,World of Warcraft: Cataclysm,PC,Blizzard Entertainment,4.70m,N/A,N/A,N/A,N/A,N/A,07th Dec 10
510,Tony Hawk's Pro Skater 2,PS,Activision,N/A,4.68m,3.05m,1.41m,0.02m,0.20m,20th Sep 00
511,Gran Turismo,PSP,Sony Computer Entertainment,4.67m,N/A,N/A,N/A,N/A,N/A,01st Oct 09
512,The Lord of the Rings: The Two Towers,PS2,Electronic Arts,N/A,4.67m,1.94m,1.95m,0.08m,0.70m,21st Oct 02
513,Tomb Raider,PS,Eidos Interactive,N/A,4.63m,2.29m,1.97m,0.13m,0.24m,14th Nov 96
514,God of War,PS2,Sony Computer Entertainment,4.62m,N/A,N/A,N/A,N/A,N/A,22nd Mar 05
515,The Legend of Zelda: A Link to the Past,SNES,Nintendo,4.61m,N/A,N/A,N/A,N/A,N/A,13th Apr 92
516,Left 4 Dead,PC,Valve Corporation,4.60m,N/A,N/A,N/A,N/A,N/A,17th Oct 08
517,Forza Motorsport 4,X360,Microsoft Studios,N/A,4.60m,2.08m,1.98m,0.06m,0.49m,11th Oct 11
518,Guitar Hero III: Legends of Rock,Wii,RedOctane,N/A,4.60m,3.04m,1.12m,0.00m,0.44m,28th Oct 07
519,Nintendogs + cats,3DS,Nintendo,4.59m,N/A,N/A,N/A,N/A,N/A,27th Mar 11
520,"Pokémon: Let's Go, Pikachu!",NS,Nintendo,N/A,4.57m,2.16m,1.24m,0.82m,0.34m,16th Nov 18
521,BioShock Infinite,PC,2K Games,4.56m,N/A,N/A,N/A,N/A,N/A,26th Mar 13
522,Mario & Luigi: Bowser's Inside Story,DS,Nintendo,4.56m,N/A,N/A,N/A,N/A,N/A,14th Sep 09
523,FIFA 15,PS3,EA Sports,N/A,4.56m,0.59m,3.25m,0.04m,0.68m,23rd Sep 14
524,Mario & Sonic at the Olympic Winter Games,Wii,Sega,N/A,4.54m,1.87m,1.97m,0.22m,0.48m,13th Oct 09
525,Overwatch,PS4,Blizzard Entertainment,N/A,4.54m,1.84m,1.80m,0.17m,0.73m,24th May 16
526,Madden NFL 2005,PS2,EA Sports,N/A,4.53m,4.18m,0.26m,0.01m,0.08m,09th Aug 04
527,Guitar Hero III: Legends of Rock,X360,RedOctane,N/A,4.53m,3.19m,0.91m,0.01m,0.42m,28th Oct 07
528,Star Wars Battlefront II (2017),PS4,Electronic Arts,N/A,4.53m,1.70m,1.99m,0.12m,0.73m,17th Nov 17
529,Dead Island,PC,Deep Silver,4.52m,N/A,N/A,N/A,N/A,N/A,06th Sep 11
530,Arma 2: Operation Arrowhead,PC,Meridian4,4.51m,N/A,N/A,N/A,N/A,N/A,29th Jun 10
531,Alan Wake,Series,Microsoft Game Studios,4.50m,N/A,N/A,N/A,N/A,N/A,18th May 10
532,ARK: Survival Evolved,PC,Studio Wildcard,4.50m,N/A,N/A,N/A,N/A,N/A,02nd Jun 15
533,LittleBigPlanet,PS3,Sony Computer Entertainment,4.50m,N/A,N/A,N/A,N/A,N/A,28th Oct 08
534,Riven: The Sequel to Myst,PC,Red Orb,4.50m,N/A,N/A,N/A,N/A,N/A,29th Oct 97
535,StarCraft II: Wings of Liberty,PC,Blizzard Entertainment,4.50m,N/A,N/A,N/A,N/A,N/A,27th Jul 10
536,The Legend of Heroes: Trails,Series,Xseed Games,4.50m,N/A,N/A,N/A,N/A,N/A,29th Mar 11
537,This War of Mine,Series,11 bit studios,4.50m,N/A,N/A,N/A,N/A,N/A,14th Nov 14
538,Warcraft III: Reign of Chaos,PC,Blizzard Entertainment,4.50m,N/A,N/A,N/A,N/A,N/A,03rd Jul 02
539,Pitfall!,2600,Activision,N/A,4.50m,4.21m,0.24m,N/A,0.05m,20th Apr 82
540,Professor Layton and the Curious Village,DS,Nintendo,4.49m,N/A,N/A,N/A,N/A,N/A,10th Feb 08
541,Madden NFL 07,PS2,EA Sports,N/A,4.49m,3.63m,0.24m,0.01m,0.61m,22nd Aug 06
542,Spider-Man: The Movie,PS2,Activision,N/A,4.48m,2.71m,1.51m,0.03m,0.23m,15th Apr 02
543,The Elder Scrolls IV: Oblivion,X360,Take-Two Interactive,N/A,4.47m,2.89m,1.03m,0.13m,0.41m,07th Jul 09
544,The Legend of Zelda: The Wind Waker,GC,Nintendo,4.43m,N/A,N/A,N/A,N/A,N/A,26th Mar 03
545,Tony Hawk's Pro Skater 3,PS2,Activision,N/A,4.41m,2.66m,1.29m,0.01m,0.46m,28th Oct 01
546,Dino Crisis,Series,Capcom,4.40m,N/A,N/A,N/A,N/A,N/A,31st Aug 99
547,Winning Eleven: Pro Evolution Soccer 2007,PS2,Konami,N/A,4.39m,0.10m,2.39m,1.05m,0.86m,06th Feb 07
548,Zelda II: The Adventure of Link,NES,Nintendo,4.38m,N/A,N/A,N/A,N/A,N/A,01st Sep 88
549,Michael Jackson: The Experience,Wii,Ubisoft,N/A,4.37m,2.64m,1.33m,0.01m,0.39m,23rd Nov 10
550,Tom Clancy's The Division,PS4,Ubisoft,N/A,4.37m,1.49m,2.04m,0.16m,0.69m,08th Mar 16
551,Need for Speed: Most Wanted,PS2,Electronic Arts,N/A,4.37m,2.03m,1.79m,0.08m,0.47m,15th Nov 05
552,Resistance: Fall of Man,PS3,Sony Computer Entertainment,N/A,4.37m,1.74m,1.72m,0.14m,0.76m,14th Nov 06
553,Tom Clancy's Rainbow Six: Siege,PS4,Ubisoft,N/A,4.36m,1.29m,2.06m,0.36m,0.64m,01st Dec 15
554,Call of Duty: Advanced Warfare,X360,Activision,N/A,4.34m,2.81m,1.13m,0.00m,0.41m,04th Nov 14
555,Watch Dogs,PS4,Ubisoft,N/A,4.32m,1.40m,2.13m,0.11m,0.68m,27th May 14
556,Animal Crossing: City Folk,Wii,Nintendo,4.32m,N/A,N/A,N/A,N/A,N/A,16th Nov 08
557,Starbound,PC,"Infocom, Inc.",4.31m,N/A,N/A,N/A,N/A,N/A,01st Jan 14
558,Asteroids,2600,Atari,N/A,4.31m,4.00m,0.26m,N/A,0.05m,01st Jan 81
559,Dragon Quest VII,PS,Enix,4.30m,N/A,N/A,N/A,N/A,N/A,01st Nov 01
560,Monster Hunter Generations,3DS,Capcom,4.30m,N/A,N/A,N/A,N/A,N/A,15th Jul 16
561,The Witcher 3: Wild Hunt,XOne,Warner Bros. Interactive Entertainment,4.30m,N/A,N/A,N/A,N/A,N/A,19th May 15
562,Batman: Arkham Asylum,PS3,Eidos Interactive,N/A,4.28m,2.26m,1.33m,0.07m,0.63m,25th Aug 09
563,Call of Duty: Advanced Warfare,PS3,Activision,N/A,4.27m,1.59m,1.81m,0.20m,0.67m,04th Nov 14
564,God of War II,PS2,Sony Computer Entertainment,4.24m,N/A,N/A,N/A,N/A,N/A,13th Mar 07
565,Namco Museum,GBA,Namco,N/A,4.24m,3.00m,1.11m,0.05m,0.07m,10th Jun 01
566,Daxter,PSP,Sony Computer Entertainment,N/A,4.23m,2.45m,1.02m,N/A,0.77m,14th Mar 06
567,God Eater,Series,D3 Publisher,4.23m,N/A,N/A,N/A,N/A,N/A,15th Mar 11
568,Super Paper Mario,Wii,Nintendo,4.23m,N/A,N/A,N/A,N/A,N/A,09th Apr 07
569,Assassin's Creed: Revelations,PS3,Ubisoft,N/A,4.23m,1.41m,2.03m,0.10m,0.69m,15th Nov 11
570,Metal Gear Solid 3: Snake Eater,PS2,Konami,N/A,4.23m,1.46m,0.00m,0.83m,1.93m,17th Nov 04
571,Assassin's Creed: Revelations,X360,Ubisoft,N/A,4.22m,2.28m,1.47m,0.04m,0.44m,15th Nov 11
572,FIFA Soccer 06,PS2,EA Sports,N/A,4.21m,0.78m,2.55m,0.04m,0.84m,04th Oct 05
573,Counter-Strike,PC,Sierra Studios,4.20m,N/A,N/A,N/A,N/A,N/A,08th Nov 00
574,Ghosts 'n Goblins,Series,Capcom,4.20m,N/A,N/A,N/A,N/A,N/A,19th Sep 85
575,Mario Strikers,Series,Nintendo,4.20m,N/A,N/A,N/A,N/A,N/A,05th Dec 05
576,Monster Hunter 4 Ultimate,3DS,Capcom,4.20m,N/A,N/A,N/A,N/A,N/A,13th Feb 15
577,Street Fighter IV,PS3,Capcom,N/A,4.19m,2.04m,1.05m,0.59m,0.52m,17th Feb 09
578,The Legend of Zelda: Link's Awakening,NS,Nintendo,4.19m,N/A,N/A,N/A,N/A,N/A,20th Sep 19
579,7 Days to Die,PC,The Fun Pimps,4.18m,N/A,N/A,N/A,N/A,N/A,13th Dec 13
580,FIFA Soccer 12,X360,EA Sports,N/A,4.18m,0.85m,2.79m,0.02m,0.52m,27th Sep 11
581,Call of Duty: Ghosts,PS4,Activision,N/A,4.17m,1.79m,1.64m,0.05m,0.69m,15th Nov 13
582,Teenage Mutant Ninja Turtles,NES,Ultra Games,N/A,4.17m,3.38m,0.44m,0.31m,0.04m,01st Jun 89
583,Just Cause 2,PC,Eidos Interactive,4.16m,N/A,N/A,N/A,N/A,N/A,23rd Mar 10
584,Excitebike,NES,Nintendo,4.16m,N/A,N/A,N/A,N/A,N/A,18th Oct 85
585,Frogger,PS,Hasbro Interactive,N/A,4.16m,3.79m,0.27m,N/A,0.11m,30th Sep 97
586,Star Wars Battlefront (2015),XOne,Electronic Arts,N/A,4.15m,2.49m,1.26m,0.02m,0.38m,17th Nov 15
587,FIFA 14,X360,EA Sports,N/A,4.15m,0.94m,2.92m,0.01m,0.29m,24th Sep 13
588,Madden NFL 2003,PS2,EA Sports,N/A,4.14m,3.36m,0.21m,0.01m,0.56m,12th Aug 02
589,Assassin's Creed: Unity,PS4,Ubisoft,N/A,4.14m,1.25m,2.16m,0.09m,0.65m,11th Nov 14
590,Destiny 2,PS4,Activision,N/A,4.14m,1.92m,1.44m,0.10m,0.69m,06th Sep 17
591,Super Mario World 2: Yoshi's Island,SNES,Nintendo,4.12m,N/A,N/A,N/A,N/A,N/A,04th Oct 95
592,Batman: Arkham Knight,PS4,Warner Bros. Interactive,N/A,4.11m,1.65m,1.68m,0.11m,0.66m,23rd Jun 15
593,FIFA 07 Soccer,PS2,EA Sports,N/A,4.11m,0.71m,2.48m,0.03m,0.89m,03rd Oct 06
594,The Sims 4,PC,Electronic Arts,N/A,4.10m,1.20m,2.60m,N/A,0.30m,02nd Sep 14
595,Monster Hunter 4,3DS,Capcom,4.10m,N/A,N/A,N/A,N/A,N/A,14th Sep 13
596,Street Fighter II Turbo,SNES,Capcom,4.10m,N/A,N/A,N/A,N/A,N/A,01st Aug 93
597,Fallout: New Vegas,X360,Bethesda Softworks,N/A,4.08m,2.67m,1.03m,0.04m,0.34m,19th Oct 10
598,The Legend of Zelda: A Link Between Worlds,3DS,Nintendo,4.07m,N/A,N/A,N/A,N/A,N/A,22nd Nov 13
599,Assassin's Creed Origins,PS4,Ubisoft,N/A,4.06m,1.22m,2.11m,0.11m,0.63m,27th Oct 17
600,Far Cry 4,PS4,Ubisoft,N/A,4.06m,1.18m,2.14m,0.11m,0.63m,18th Nov 14
601,Carnival Games,Wii,Global Star Software,N/A,4.06m,2.12m,1.47m,0.05m,0.42m,28th Aug 07
602,World Soccer Winning Eleven 9,PS2,Konami,N/A,4.06m,0.12m,2.26m,0.90m,0.77m,07th Feb 06
603,Forza Motorsport 2,X360,Microsoft Game Studios,N/A,4.05m,2.35m,1.27m,0.03m,0.41m,29th May 07
604,Namco Museum Vol.3,PS,Namco,N/A,4.05m,2.28m,1.55m,0.16m,0.06m,31st Jan 97
605,Tekken Tag Tournament,PS2,Namco,N/A,4.05m,1.68m,1.51m,0.51m,0.35m,25th Oct 00
606,Golf,NES,Nintendo,4.01m,N/A,N/A,N/A,N/A,N/A,18th Oct 85
607,Super Mario Maker,WiiU,Nintendo,4.01m,N/A,N/A,N/A,N/A,N/A,11th Sep 15
608,Arma III,PC,Bohemia Interactive,4.00m,N/A,N/A,N/A,N/A,N/A,12th Sep 13
609,Diablo II,PC,Blizzard Entertainment,4.00m,N/A,N/A,N/A,N/A,N/A,29th Jun 00
610,Disney's Aladdin,GEN,Sega,4.00m,N/A,N/A,N/A,N/A,N/A,11th Nov 93
611,EyeToy Play,PS2,Sony Computer Entertainment,4.00m,N/A,N/A,N/A,N/A,N/A,04th Nov 03
612,Just Dance,Wii,Ubisoft,4.00m,N/A,N/A,N/A,N/A,N/A,17th Nov 09
613,Kerbal Space Program,Series,Private Division,4.00m,N/A,N/A,N/A,N/A,N/A,27th Apr 15
614,Monster Hunter: World,PS4,Capcom,4.00m,N/A,N/A,N/A,N/A,N/A,26th Jan 18
615,Risk of Rain,Series,Chucklefish,4.00m,N/A,N/A,N/A,N/A,N/A,08th Nov 13
616,Sakura Wars,Series,Sega,4.00m,N/A,N/A,N/A,N/A,N/A,30th Mar 10
617,Sengoku BASARA,Series,Capcom,4.00m,N/A,N/A,N/A,N/A,N/A,12th Oct 05
618,Star Fox 64,N64,Nintendo,4.00m,N/A,N/A,N/A,N/A,N/A,01st Jul 97
619,World of Warcraft: Wrath of the Lich King,PC,Blizzard Entertainment,4.00m,N/A,N/A,N/A,N/A,N/A,13th Nov 08
620,Fallout 3,PS3,Bethesda Softworks,N/A,4.00m,2.18m,1.15m,0.07m,0.61m,28th Oct 08
621,The Legend of Zelda: Oracle of Ages / Seasons,GBC,Nintendo,3.99m,N/A,N/A,N/A,N/A,N/A,13th May 01
622,The Elder Scrolls V: Skyrim,PC,Bethesda Softworks,N/A,3.99m,1.18m,2.25m,N/A,0.56m,11th Nov 11
623,Namco Museum: 50th Anniversary,PS2,Namco,N/A,3.98m,2.08m,1.35m,N/A,0.54m,30th Aug 05
624,NBA 2K16,PS4,2K Sports,N/A,3.98m,2.56m,0.66m,0.05m,0.71m,29th Sep 15
625,Divinity,Series,CDV Software Entertainment,3.98m,N/A,N/A,N/A,N/A,N/A,22nd Sep 02
626,Left 4 Dead 2,X360,Electronic Arts,N/A,3.97m,2.67m,0.88m,0.05m,0.38m,17th Nov 09
627,Far Cry 5,PS4,Ubisoft,N/A,3.95m,1.44m,1.73m,0.15m,0.62m,27th Mar 18
628,Battlefield 4,PS4,Electronic Arts,N/A,3.94m,1.40m,1.74m,0.19m,0.62m,15th Nov 13
629,Assassin's Creed IV: Black Flag,PS3,Ubisoft,N/A,3.94m,1.34m,1.86m,0.13m,0.62m,29th Oct 13
630,EA Sports Active,Wii,EA Sports,N/A,3.93m,2.11m,1.35m,0.06m,0.40m,19th May 09
631,Half-Life 2: Episode One,PC,Electronic Arts,3.92m,N/A,N/A,N/A,N/A,N/A,01st Jun 06
632,Donkey Kong Land,GB,Nintendo,3.91m,N/A,N/A,N/A,N/A,N/A,26th Jul 95
633,English Training: Have Fun Improving Your Skills!,DS,Nintendo,3.91m,N/A,N/A,N/A,N/A,N/A,27th Oct 06
634,Dragon Quest III,NES,Enix,3.90m,N/A,N/A,N/A,N/A,N/A,01st Mar 92
635,Tony Hawk's Underground,PS2,Activision,N/A,3.90m,2.29m,1.17m,0.01m,0.42m,27th Oct 03
636,Just Dance 2014,Wii,Ubisoft,N/A,3.89m,1.91m,1.66m,N/A,0.33m,08th Oct 13
637,Professor Layton and the Diabolical Box,DS,Nintendo,3.88m,N/A,N/A,N/A,N/A,N/A,24th Aug 09
638,Sports Champions,PS3,Sony Computer Entertainment,N/A,3.88m,2.15m,1.13m,0.10m,0.50m,17th Sep 10
639,World Soccer Winning Eleven 8 International,PS2,Konami,N/A,3.85m,0.16m,1.89m,1.12m,0.68m,01st Feb 05
640,Namco Museum Vol.1,PS,Namco,N/A,3.84m,2.12m,1.44m,0.22m,0.06m,31st Jul 96
641,The Legend of Zelda: Link's Awakening,GB,Nintendo,3.83m,N/A,N/A,N/A,N/A,N/A,01st Aug 93
642,Resident Evil VII: Biohazard,PS4,Capcom,3.83m,N/A,N/A,N/A,N/A,N/A,24th Jan 17
643,Monster Hunter Freedom Unite,PSP,Capcom,3.80m,N/A,N/A,N/A,N/A,N/A,23rd Jun 09
644,Gran Turismo Sport,PS4,Sony Interactive Entertainment,N/A,3.77m,0.63m,2.35m,0.24m,0.54m,17th Oct 17
645,LEGO Indiana Jones: The Original Adventures,X360,LucasArts,N/A,3.76m,2.40m,1.01m,N/A,0.36m,03rd Jun 08
646,The Sims: Unleashed,PC,Electronic Arts,N/A,3.76m,2.03m,1.56m,N/A,0.17m,23rd Sep 02
647,Tomodachi Collection,DS,Nintendo,3.76m,N/A,N/A,N/A,N/A,N/A,18th Jun 09
648,Ratchet & Clank: Size Matters,PSP,Sony Computer Entertainment,N/A,3.75m,1.40m,1.40m,0.10m,0.86m,13th Feb 07
649,Harry Potter and the Sorcerer's Stone,PS,Electronic Arts,N/A,3.73m,1.37m,2.00m,0.14m,0.22m,15th Nov 01
650,Pokémon Trading Card Game,GB,Nintendo,3.72m,N/A,N/A,N/A,N/A,N/A,10th Apr 00
651,FIFA 17,XOne,Electronic Arts,N/A,3.71m,1.04m,2.40m,N/A,0.27m,27th Sep 16
652,Spyro: Year of the Dragon,PS,Sony Computer Entertainment,N/A,3.71m,1.93m,1.58m,N/A,0.19m,23rd Oct 00
653,FIFA Soccer 2005,PS2,EA Sports,N/A,3.70m,0.58m,2.48m,0.04m,0.59m,12th Oct 04
654,Diablo III: Reaper of Souls,PC,Blizzard Entertainment,3.70m,N/A,N/A,N/A,N/A,N/A,25th Mar 14
655,The Legend of Zelda: Skyward Sword,Wii,Nintendo,3.67m,N/A,N/A,N/A,N/A,N/A,20th Nov 11
656,Tony Hawk's Pro Skater 4,PS2,Activision,N/A,3.67m,2.13m,1.18m,0.01m,0.35m,23rd Oct 02
657,Midnight Club 3: DUB Edition,PSP,Rockstar Games,N/A,3.66m,1.65m,1.22m,N/A,0.79m,27th Jun 05
658,MySims,DS,Electronic Arts,N/A,3.66m,1.58m,1.60m,0.08m,0.40m,18th Sep 07
659,Banjo-Kazooie,N64,Nintendo,3.65m,N/A,N/A,N/A,N/A,N/A,31st May 98
660,SOCOM: U.S. Navy SEALs,PS2,Sony Computer Entertainment,N/A,3.65m,2.53m,0.81m,0.06m,0.24m,27th Aug 02
661,Battlefield 4,PS3,Electronic Arts,N/A,3.64m,1.31m,1.50m,0.27m,0.55m,29th Oct 13
662,Jak and Daxter: The Precursor Legacy,PS2,Sony Computer Entertainment,N/A,3.64m,2.08m,1.09m,0.15m,0.33m,04th Dec 01
663,Pokémon Snap,N64,Nintendo,3.63m,N/A,N/A,N/A,N/A,N/A,30th Jun 99
664,Pro Evolution Soccer 2008,PS2,Konami,N/A,3.63m,0.05m,0.00m,0.64m,2.93m,11th Mar 08
665,FIFA Soccer 10,PS3,EA Sports,N/A,3.63m,0.60m,2.46m,0.05m,0.52m,20th Oct 09
666,Guitar Hero: World Tour,Wii,Activision,N/A,3.62m,2.32m,0.96m,N/A,0.34m,26th Oct 08
667,Gears of War: Ultimate Edition,XOne,Microsoft Studios,N/A,3.62m,2.88m,0.37m,N/A,0.37m,25th Aug 15
668,Animal Crossing: New Horizons,NS,Nintendo,3.61m,N/A,N/A,N/A,N/A,N/A,20th Mar 20
669,Star Wars Battlefront,PS2,LucasArts,N/A,3.61m,1.93m,1.22m,0.03m,0.44m,20th Sep 04
670,Doom II,PC,GT Interactive,N/A,3.61m,2.05m,1.40m,N/A,0.16m,30th Sep 94
671,The Simpsons: Road Rage,PS2,Electronic Arts,N/A,3.61m,2.02m,1.17m,N/A,0.42m,24th Nov 01
672,BattleBlock Theater,PC,The Behemoth,3.61m,N/A,N/A,N/A,N/A,N/A,15th May 14
673,Assassin's Creed Syndicate,PS4,Ubisoft,N/A,3.60m,0.90m,2.06m,0.08m,0.55m,23rd Oct 15
674,Star Wars Battlefront II,PS2,LucasArts,N/A,3.59m,2.18m,1.02m,0.03m,0.37m,01st Nov 05
675,Assassin's Creed: Unity,XOne,Ubisoft,N/A,3.58m,2.34m,0.90m,0.00m,0.34m,11th Nov 14
676,Cooking Mama 2: Dinner With Friends,DS,Majesco,N/A,3.58m,1.60m,1.49m,0.10m,0.39m,13th Nov 07
677,Undertale,PC,Toby Fox,3.58m,N/A,N/A,N/A,N/A,N/A,15th Sep 15
678,WWF SmackDown!,PS,THQ,N/A,3.58m,2.01m,1.35m,0.06m,0.16m,01st Mar 00
679,Croc: Legend of the Gobbos,PS,Fox Interactive,N/A,3.56m,1.57m,1.79m,N/A,0.20m,29th Sep 97
680,Battlefield 4,X360,Electronic Arts,N/A,3.54m,2.16m,1.05m,0.02m,0.32m,29th Oct 13
681,Grand Theft Auto: Liberty City Stories,PS2,Rockstar Games,N/A,3.54m,1.56m,1.40m,0.07m,0.50m,06th Jun 06
682,The Getaway,PS2,Sony Computer Entertainment,N/A,3.54m,1.23m,1.77m,0.05m,0.49m,19th Jan 03
683,Tomb Raider III: Adventures of Lara Croft,PS,Eidos Interactive,N/A,3.54m,1.66m,1.58m,0.12m,0.18m,21st Nov 98
684,Batman: Arkham Asylum,X360,Eidos Interactive,N/A,3.54m,2.24m,0.95m,0.02m,0.33m,25th Aug 09
685,Assassin's Creed: Brotherhood,X360,Ubisoft,N/A,3.53m,2.87m,0.39m,0.03m,0.25m,16th Nov 10
686,James Bond 007: Agent Under Fire,PS2,Electronic Arts,N/A,3.53m,1.90m,1.13m,0.10m,0.41m,13th Nov 01
687,LEGO Star Wars: The Video Game,PS2,Eidos Interactive,N/A,3.53m,1.98m,1.14m,0.01m,0.41m,02nd Apr 05
688,Resident Evil 5,X360,Capcom,N/A,3.53m,2.13m,0.93m,0.12m,0.34m,13th Mar 09
689,Rugrats in Paris: The Movie,PS,THQ,N/A,3.52m,1.96m,1.33m,N/A,0.23m,29th Oct 00
690,NBA 2K17,PS4,2K Sports,N/A,3.52m,2.28m,0.59m,0.03m,0.63m,16th Sep 16
691,FIFA Soccer 11,X360,EA Sports,N/A,3.52m,0.71m,2.39m,0.02m,0.40m,28th Sep 10
692,Spyro 2: Ripto's Rage!,PS,Sony Computer Entertainment,N/A,3.52m,2.14m,1.21m,0.01m,0.17m,31st Oct 99
693,Left 4 Dead,X360,Valve Corporation,N/A,3.52m,2.66m,0.49m,0.05m,0.31m,18th Oct 08
694,Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,Nintendo,3.51m,N/A,N/A,N/A,N/A,N/A,22nd Nov 96
695,Drawn to Life,Series,THQ,3.50m,N/A,N/A,N/A,N/A,N/A,10th Sep 07
696,Fable II,X360,Microsoft Game Studios,3.50m,N/A,N/A,N/A,N/A,N/A,21st Oct 08
697,Final Fantasy VII Remake,PS4,Square Enix,3.50m,N/A,N/A,N/A,N/A,N/A,10th Apr 20
698,Kung Fu,NES,Nintendo,3.50m,N/A,N/A,N/A,N/A,N/A,01st Oct 85
699,Legacy of Kain,Series,Crystal Dynamics,3.50m,N/A,N/A,N/A,N/A,N/A,01st Nov 96
700,Resident Evil 3: Nemesis,PS,Capcom,3.50m,N/A,N/A,N/A,N/A,N/A,11th Nov 99
701,World of Warcraft: The Burning Crusade,PC,Blizzard Entertainment,3.50m,N/A,N/A,N/A,N/A,N/A,16th Jan 07
702,FIFA Soccer 2004,PS2,EA Sports,N/A,3.49m,0.59m,2.36m,0.04m,0.51m,04th Nov 03
703,Pokémon Mystery Dungeon: Blue Rescue Team,DS,Nintendo,3.49m,N/A,N/A,N/A,N/A,N/A,18th Sep 06
704,Mortal Kombat X,PS4,Warner Bros. Interactive Entertainment,N/A,3.49m,1.94m,0.94m,N/A,0.61m,14th Apr 15
705,Battlefield: Bad Company 2,X360,Electronic Arts,N/A,3.48m,2.11m,1.01m,0.04m,0.33m,02nd Mar 10
706,Borderlands,X360,2K Games,N/A,3.48m,2.43m,0.72m,0.03m,0.30m,20th Oct 09
707,Mario & Sonic at the Olympic Winter Games,DS,Sega,N/A,3.47m,1.21m,1.63m,0.27m,0.37m,13th Oct 09
708,Dying Light,PC,Warner Bros. Interactive Entertainment,3.47m,N/A,N/A,N/A,N/A,N/A,06th Feb 16
709,Guitar Hero: On Tour,DS,Activision,N/A,3.46m,2.10m,1.01m,0.01m,0.35m,22nd Jun 08
710,Dragon Ball Z: Budokai,PS2,Atari,3.46m,N/A,N/A,N/A,N/A,N/A,03rd Dec 02
711,Halo: The Master Chief Collection,XOne,Microsoft Studios,N/A,3.44m,2.06m,1.04m,0.03m,0.31m,11th Nov 14
712,LEGO Batman: The Videogame,X360,Warner Bros. Interactive,N/A,3.44m,2.07m,1.04m,N/A,0.34m,23rd Sep 08
713,Tekken 4,PS2,Namco,N/A,3.44m,1.55m,1.27m,0.33m,0.29m,23rd Sep 02
714,FIFA 14,PS4,EA Sports,N/A,3.43m,0.62m,2.18m,0.12m,0.51m,15th Nov 13
715,Animal Crossing: Happy Home Designer,3DS,Nintendo,3.43m,N/A,N/A,N/A,N/A,N/A,25th Sep 15
716,LittleBigPlanet 2,PS3,Sony Computer Entertainment,N/A,3.43m,1.83m,1.07m,0.06m,0.47m,18th Jan 11
717,Grand Theft Auto 2,PS,Rockstar Games,N/A,3.42m,1.13m,2.07m,N/A,0.22m,25th Oct 99
718,Destiny,XOne,Activision,N/A,3.41m,2.17m,0.92m,N/A,0.32m,09th Sep 14
719,Spider-Man 2,PS2,Activision,N/A,3.41m,1.75m,1.20m,0.02m,0.43m,28th Jun 04
720,F-1 Race,GB,Nintendo,3.41m,N/A,N/A,N/A,N/A,N/A,01st Feb 91
721,Super Mario Maker,3DS,Nintendo,3.40m,N/A,N/A,N/A,N/A,N/A,02nd Dec 16
722,World of Warcraft: Battle for Azeroth,PC,Blizzard Entertainment,3.40m,N/A,N/A,N/A,N/A,N/A,14th Aug 18
723,FIFA Soccer 2003,PS2,EA Sports,N/A,3.40m,0.46m,2.28m,0.05m,0.61m,14th Nov 02
724,Crash Bash,PS,Sony Computer Entertainment,N/A,3.39m,1.56m,1.47m,0.19m,0.17m,06th Nov 00
725,Gears of War 4,XOne,Microsoft Studios,N/A,3.38m,2.17m,0.90m,N/A,0.32m,11th Oct 16
